Name,Language,Bio
Dennis Ritchie,C,Dennis MacAlistair Ritchie was an American computer scientist. He created the C programming language and with long-time colleague Ken Thompson the Unix operating system.
Grace Hopper,Cobol,Grace Brewster Murray Hopper was an American computer scientist and United States Navy rear admiral. One of the first programmers of the Harvard Mark I computer she was a pioneer of computer programming who invented one of the first compiler related tools.
James Gosling,Java,James Arthur Gosling OC is a Canadian computer scientist, best known as the founder and lead designer behind the Java programming language
Bjarne Stroustrup,C++,Bjarne Stroustrup is a Danish computer scientist who is most notable for the creation and development of the widely used C++ programming language. He is a visiting professor at Columbia University and works at Morgan Stanley as a Managing Director in New York.
Guido Van Rossum,Python,Guido van Rossum is a Dutch programmer best known as the author of the Python programming language for which he was the "Benevolent Dictator For Life" until he stepped down from the position in July 2018. 
Rasmus Lerdorf,PHP,Rasmus Lerdorf is a Danish-Canadian programmer. He created the PHP scripting language authoring the first two versions of the language and participated in the development of later versions led by a group of developers including Jim Winstead Stig Bakken Shane Caraveo Andi Gutmans and Zeev Suraski.
Larry Wall,Perl,Larry Wall is an American computer programmer and author. He created the Perl programming language.
Brendan Eich,Javascript,Brendan Eich is an American technologist and creator of the JavaScript programming language. He co-founded the Mozilla project the Mozilla Foundation and the Mozilla Corporation and served as the Mozilla Corporation's chief technical officer and briefly its chief executive officer. He is the CEO of Brave Software.
Yukihiro Matsumoto,Ruby,Yukihiro Matsumoto is a Japanese computer scientist and software programmer best known as the chief designer of the Ruby programming language and its reference implementation Matz's Ruby Interpreter.
John McCarthy,Lisp,John McCarthy was an American computer scientist and cognitive scientist. McCarthy was one of the founders of the discipline of artificial intelligence. He coined the term "artificial intelligence" (AI) developed the Lisp programming language family significantly influenced the design of the ALGOL programming language popularized timesharing and was very influential in the early development of AI.
Niklaus Wirth,Pascal,Niklaus Emil Wirth is a Swiss computer scientist best known for designing several programming languages including Pascal and for pioneering several classic topics in software engineering.
